P ID,Gesture,Segment 1(20th second),Segment 2 (40th second),Segment 3 (1 minute),Segment 4 (1minute 20 second),Segment 5 (1minute 40 second),Segment 6 (2 minutes),Segment 7 (2 minutes 20 second),Segment 8 (2 minute 40 second),Segment 9 (3 minute),Segment 10 (3 minute 20 second),Segment 11 (3 minute 40 second),Segment 12 (4 minutes),Segment 13 (4 minute 20 second),Segment 14 (4 minute 40 second),Segment 15 (5 minutes),Segment 16 (5 minute 20 second),Segment 17 (5 minute 40 second),Segment 18 (6 minute),Segment 19 (6 minute 20 second),Segment 20 (6 minute 40 second),Segment 21 (7 minute),Segment 22 (7 minute 20 second),Segment 23 (7 minute 40 second),Segment 24 (8 minute),Segment 25 (8 minute 20 second),Segment 26 (8 minute 40 second),Segment 27 (9 minute),Segment 28  (9 minute 20 second),Segment 29 (9 minute 40 second),Segment 30 (10 minutes),Segment 31 (10 minutes 20 second),Segment 32 (10 minute 40 second),Segment 33 (11 minute),Segment 34 (11 minute 20 second),Segment 35 (11 minute 40 second),Segment 36 (12 minute),Segment 37 (12 minute 20 second),Segment 38 (12 minute 40 second),Segment 39 (13 minutes),Segment 40 (13 minute 20 second),Segment 41 (13 minute 40 second),Segment 42 (14 minute),Segment 43 (14 minute 20 second),Segment 44 (14 minute 40 second),Segment 45 (15 minute ),Segment 46 (15 minute 20 second),Segment 47 (15 minute 40 second),Segment 48 (16 minute),Segment 49 (16 minute 20 second),Segment 50 (16 minute 40 second),Segment 51 (17 minute),Segment 52 (17 minute 20 second),Segment 53 (17 minute 40 second),Segment 54 (18 minute),Segment 55 (18 minute 20 second),Segment 56 (18 minute 40 second),Segment 57 (19 minute),Segment 58 (19 minute 20 second),Segment 59 (19 minute 40 second),Segment 60 (20 minute)
,Gesture 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,5,5,3,4,5,8,7,8,10,10,10,7,10,10,10,8,6,5,4,4,4,4,5
,Gesture 4,0,0,0,2,2,2,4,4,4,4,6,6,8,6,6,8,8,8,9,9,9,10,10,8,8,8,6,6,8,6,6,4,4,5,6,6,6,8,9,10,8,10,10,10,10,8,8,7,6,8,10,8,10,10,8,9,10,7,8,10
,Gesture 5,0,4,6,6,8,10,9,10,8,10,9,10,10,10,8,7,8,9,10,10,10,8,6,6,8,8,4,4,5,4,3,6,6,4,2,4,6,7,8,8,7,8,10,10,8,10,10,10,8,10,9,10,9,10,10,10,10,9,10,10
P29,Gesture 1,0,0,0,1,2,2,3,5,7,7,8,8,9,9,7,7,8,8,9,10,10,9,9,10,10,10,9,9,10,10,10,9,10,9,10,7,8,9,10,9,8,9,9,8,10,9,9,10,9,10,9,10,8,7,8,7,8,8,10,9
,Gesture 2,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,5,5,5,6,6,6,7,7,7,7,8,8,8,9,9,9,9,8,8,10,9,10,10,9,9,10,10,9,10,9,10,9,10,10,10,9,10,10,9,10,10,10,10,9,10
,Gesture 3,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,4,3,4,4,4,5,5,5,5,5,6,6,5,5,6,7,7,7,7,7,7,7,8,8,9,9,8,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,8
,Gesture 4,0,0,0,1,3,3,5,4,4,3,3,4,4,4,6,5,5,3,1,0,0,2,2,2,5,5,7,7,8,8,9,9,10,10,10,10,9,8,8,7,9,10,10,9,8,7,9,10,10,10,8,6,8,10,10,10,9,6,6,5
,Gesture 5,0,0,2,3,5,7,7,9,10,10,10,10,9,7,7,9,9,10,7,6,8,9,8,10,7,7,8,8,8,9,10,10,9,10,9,7,8,8,7,6,8,10,10,9,7,8,6,6,8,8,10,9,9,7,5,5,6,7,6,7
P30,Gesture 1,0,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
,Gesture 2,0,0,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,8,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,9,9,9,9,9,9,9,9,9,9
,Gesture 3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Gesture 4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3
,Gesture 5,0,1,2,3,3,4,6,6,7,7,7,8,8,8,8,8,8,8,8,9,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
P31,Gesture 1,0,0,1,1,1,1,2,2,2,3,3,4,4,5,6,6,6,7,7,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,Gesture 2,0,1,1,3,3,3,4,4,4,4,4,5,5,5,6,6,7,7,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,8,7,6,6,6,5,5,4,6,5,5,4,4,4,5,5,6,6,7,8,8,9,8,9,9,10,10
,Gesture 3,0,0,1,1,2,2,2,3,3,3,2,3,4,5,5,6,6,7,8,8,7,7,7,6,7,8,8,8,7,7,6,6,6,8,9,9,9,10,10,10,10,10,8,8,8,8,8,7,7,7,6,7,7,6,6,6,5,5,5,6
,Gesture 4,1,1,1,1,2,2,3,3,4,4,4,5,5,5,5,6,6,7,6,6,5,4,4,5,5,6,7,7,8,8,9,9,10,10,10,9,9,8,9,9,10,10,9,8,8,7,7,7,8,8,9,7,7,8,8,8,9,9,10,10
,Gesture 5,1,1,1,1,2,2,3,3,3,3,4,4,5,5,5,6,6,4,8,7,6,6,6,7,7,8,9,9,10,10,8,8,7,7,6,5,5,5,4,4,5,5,6,6,7,7,7,6,6,6,5,5,5,4,4,5,6,6,7,7
P32,Gesture 1,0,0,0,0,0,1,1,2,2,2,3,3,3,4,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,Gesture 2,0,1,3,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,Gesture 3,0,0,0,0,0,0,0,3,3,3,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,Gesture 4,0,0,0,1,1,1,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10
,Gesture 5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,6,6,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
P33,Gesture 1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,8,6,7,7,7,7,7,7,7,7
,Gesture 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8
,Gesture 3,3,3,5,5,5,6,3,3,4,4,4,6,6,6,5,5,5,5,5,5,4,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,7,7,7,7,6,5,5,5,5,5,5,6,6,5,6,6,7,7,7,7,8,7,7,7
,Gesture 4,0,0,0,0,0,2,2,2,2,3,3,3,3,3,4,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
,Gesture 5,0,0,0,0,2,2,2,2,3,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,8,9,8,9,8,9,9,8,8,9,8,9,9,9,9,9,9
P34,Gesture 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Gesture 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Gesture 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
,Gesture 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
,Gesture 5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
P35,Gesture 1,0,0,1,1,3,0,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,0,0,2,1,0,2,1,3,3,5,3,4,2,3,4,5,4,6,6,7,5,5,7,6,4,5,5,5,5,4,4,2,3,3,3
,Gesture 2,0,0,0,0,0,1,1,1,4,3,4,2,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,5,5,6,5,5,6,5,4,5,6,6,7,6,8,9,7,8,8,6,6,4,4,6,8,8,9,9,10,9
,Gesture 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gesture 4,0,0,0,0,0,0,1,1,1,4,4,4,3,4,4,3,3,5,4,4,5,4,4,4,6,6,7,7,7,7,8,8,7,7,7,7,8,7,8,9,8,6,6,8,8,9,10,9,7,9,10,7,7,8,7,6,8,9,9,8
,Gesture 5,0,0,0,1,1,1,1,2,2,3,1,1,1,1,4,4,5,5,5,6,6,7,7,8,8,8,8,8,8,9,9,7,6,7,9,7,4,8,8,8,9,9,7,5,5,6,2,4,7,4,6,9,7,6,3,2,5,3,4,6
P36,Gesture 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,Gesture 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gesture 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
,Gesture 4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
,Gesture 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
P37,Gesture 1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
,Gesture 2,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,3,3,3,2,2,2,3,3,3,3,4,4,4,3,4,4,5,5,4,3,3,4,4,3,3,4,4,5,5,5,5,4,4,5,5,4,3,4,4,4
,Gesture 3,0,0,0,1,1,1,1,1,1,2,2,2,2,4,5,5,6,6,6,7,7,7,8,8,8,8,8,8,7,7,8,8,8,9,9,9,9,9,9,8,8,8,8,9,9,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6
,Gesture 4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
,Gesture 5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,5,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,7,7,7,6,6,7,7,7,8,8,8,8,9
P38,Gesture 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
,Gesture 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4
,Gesture 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
,Gesture 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gesture 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P41,Gesture 1,0,0,0,0,1,2,3,3,3,4,4,4,4,5,5,5,5,6,6,6,7,6,7,7,8,8,8,9,8,9,7,7,8,8,9,9,9,9,10,9,9,8,8,9,9,9,10,9,9,10,9,10,10,10,9,10,9,9,9,8
,Gesture 2,0,0,0,1,2,2,3,4,5,6,6,7,8,8,9,10,9,10,10,10,9,10,10,9,10,10,10,10,9,10,10,10,9,10,9,9,10,10,9,10,9,10,10,9,10,10,10,9,9,10,10,10,10,10,10,9,10,10,10,10
,Gesture 3,0,0,0,1,2,2,1,2,3,3,4,4,4,5,5,6,7,7,7,7,8,8,9,9,9,10,10,10,9,10,10,9,9,9,9,9,10,10,10,9,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10
,Gesture 4,1,1,2,2,3,4,5,6,7,7,8,8,8,9,9,9,10,10,9,9,10,9,10,10,10,10,9,10,10,10,9,10,10,10,9,9,9,9,10,10,10,10,9,9,10,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10
,Gesture 5,0,1,1,2,3,3,4,5,6,8,8,9,8,9,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
P42,Gesture 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Gesture 2,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,Gesture 3,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
,Gesture 4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Gesture 5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
P43,Gesture 1,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,5,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,10,10,10,10,9,9,10,10,10,9,9,9,9,10,10,10,10,9,10,10,10,10,10,10
,Gesture 2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,5,6,6,6,6,6,6,7,7,7,8,8,8,9,9,9,9,9,9,10,10
,Gesture 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,3,3,4,5,5,6,6,6,7,7,8,8,8,8,8,8,9,9,9,10,10,9,10,8,9,8,9,9,9,9
,Gesture 4,0,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,9,9,9,10,10,10,9,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,Gesture 5,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,10,10,9,9,9,9,8,8,10,10,10,10,9,9
P44,Gesture 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,5,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,9,9,9
,Gesture 2,0,0,0,0,0,1,1,2,2,3,3,4,5,6,6,7,7,7,8,8,8,8,9,8,7,8,8,9,9,9,10,10,9,10,10,10,9,10,10,9,9,9,9,10,8,8,9,9,9,10,9,9,8,9,9,9,9,8,8,9
,Gesture 3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,8,7
,Gesture 4,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,7,7,7,8,8,8,9,9,9,9,7,8,8,9,9,10,9,9,10,7,8,9,10,9,10,10,10,10,10,10,9,9,9,10,9,9,8,8,8,8,9
,Gesture 5,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,8,9,9,10,8,9,9,9,9,10,10,10,10,9,8,8,8,9,10,10,9,9
